sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
"Original Gold-2000",,Default,simple,"Default Category/Gift Card",base,"Original Gold-2000",,,0.1500,1,"Taxable Goods","Not Visible Individually",2000.0000,,,,original-gold-2000,"Original Gold","Original Gold"," ",/g/o/gold_gift_card_1_7.png,,/g/o/gold_gift_card_1_7.png,,/g/o/gold_gift_card_1_7.png,,/g/o/gold_gift_card_1_7.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=2000,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/gold_gift_card_1_7.png,,,,,,,,,,,,
"Original Gold-3000",,Default,simple,"Default Category/Gift Card",base,"Original Gold-3000",,,0.1500,1,"Taxable Goods","Not Visible Individually",3000.0000,,,,original-gold-3000,"Original Gold","Original Gold"," ",/g/o/gold_gift_card_1_8.png,,/g/o/gold_gift_card_1_8.png,,/g/o/gold_gift_card_1_8.png,,/g/o/gold_gift_card_1_8.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=3000,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/gold_gift_card_1_8.png,,,,,,,,,,,,
"Gold Ribbon-25",,Default,simple,"Default Category/Gift Card",base,"Gold Ribbon-25",,,0.1500,1,"Taxable Goods","Not Visible Individually",25.0000,,,,gold-ribbon-25,"Gold Ribbon","Gold Ribbon","Gold Ribbon ",/g/o/goldribbon.png,,/g/o/goldribbon.png,,/g/o/goldribbon.png,,/g/o/goldribbon.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=25,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/goldribbon.png,,,,,,,,,,,,
"Gold Ribbon-50",,Default,simple,"Default Category/Gift Card",base,"Gold Ribbon-50",,,0.1500,1,"Taxable Goods","Not Visible Individually",50.0000,,,,gold-ribbon-50,"Gold Ribbon","Gold Ribbon","Gold Ribbon ",/g/o/goldribbon_1.png,,/g/o/goldribbon_1.png,,/g/o/goldribbon_1.png,,/g/o/goldribbon_1.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=50,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/goldribbon_1.png,,,,,,,,,,,,
"Gold Ribbon-100",,Default,simple,"Default Category/Gift Card",base,"Gold Ribbon-100",,,0.1500,1,"Taxable Goods","Not Visible Individually",100.0000,,,,gold-ribbon-100,"Gold Ribbon","Gold Ribbon","Gold Ribbon ",/g/o/goldribbon_2.png,,/g/o/goldribbon_2.png,,/g/o/goldribbon_2.png,,/g/o/goldribbon_2.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=100,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/goldribbon_2.png,,,,,,,,,,,,
"Thank You (Marble)-25",,Default,simple,"Default Category/Gift Card",base,"Thank You (Marble)-25",,,0.0150,1,"Taxable Goods","Not Visible Individually",25.0000,,,,thank-you-marble-25,"Thank You (Marble)","Thank You (Marble)","Thank You (Marble) ",/t/h/thankyou-marble_1.jpg,,/t/h/thankyou-marble_1.jpg,,/t/h/thankyou-marble_1.jpg,,/t/h/thankyou-marble_1.jpg,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=25,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/t/h/thankyou-marble_1.jpg,,,,,,,,,,,,
"Gold Thank You-200",,Default,simple,"Default Category/Gift Card",base,"Gold Thank You-200",,,0.0150,1,"Taxable Goods","Not Visible Individually",200.0000,,,,gold-thank-you-200,"Gold Thank You","Gold Thank You","Gold Thank You ",/g/o/gold-thankyou_1_3.jpg,,/g/o/gold-thankyou_1_3.jpg,,/g/o/gold-thankyou_1_3.jpg,,/g/o/gold-thankyou_1_3.jpg,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=200,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/gold-thankyou_1_3.jpg,,,,,,,,,,,,
"Gold Thank You-100",,Default,simple,"Default Category/Gift Card",base,"Gold Thank You-100",,,0.0150,1,"Taxable Goods","Not Visible Individually",100.0000,,,,gold-thank-you-100,"Gold Thank You","Gold Thank You","Gold Thank You ",/g/o/gold-thankyou_1_2.jpg,,/g/o/gold-thankyou_1_2.jpg,,/g/o/gold-thankyou_1_2.jpg,,/g/o/gold-thankyou_1_2.jpg,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=100,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/gold-thankyou_1_2.jpg,,,,,,,,,,,,
"Gold Gift Sparkle-25",,Default,simple,"Default Category/Gift Card",base,"Gold Gift Sparkle-25",,,0.1500,1,"Taxable Goods","Not Visible Individually",25.0000,,,,gold-gift-sparkle-25,"Gold Gift Sparkle","Gold Gift Sparkle","Gold Gift Sparkle ",/g/o/gold-sparkle.png,,/g/o/gold-sparkle.png,,/g/o/gold-sparkle.png,,/g/o/gold-sparkle.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=25,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/gold-sparkle.png,,,,,,,,,,,,
"Gold Gift Sparkle-200",,Default,simple,"Default Category/Gift Card",base,"Gold Gift Sparkle-200",,,0.1500,1,"Taxable Goods","Not Visible Individually",200.0000,,,,gold-gift-sparkle-200,"Gold Gift Sparkle","Gold Gift Sparkle","Gold Gift Sparkle ",/g/o/gold-sparkle_1.png,,/g/o/gold-sparkle_1.png,,/g/o/gold-sparkle_1.png,,/g/o/gold-sparkle_1.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=200,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/gold-sparkle_1.png,,,,,,,,,,,,
"Gold Gift Sparkle-1000",,Default,simple,"Default Category/Gift Card",base,"Gold Gift Sparkle-1000",,,0.1500,1,"Taxable Goods","Not Visible Individually",1000.0000,,,,gold-gift-sparkle-1000,"Gold Gift Sparkle","Gold Gift Sparkle","Gold Gift Sparkle ",/g/o/gold-sparkle_2.png,,/g/o/gold-sparkle_2.png,,/g/o/gold-sparkle_2.png,,/g/o/gold-sparkle_2.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=1000,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/gold-sparkle_2.png,,,,,,,,,,,,
"Gold Gift Sparkle-50",,Default,simple,"Default Category/Gift Card",base,"Gold Gift Sparkle-50",,,0.1500,1,"Taxable Goods","Not Visible Individually",50.0000,,,,gold-gift-sparkle-50,"Gold Gift Sparkle","Gold Gift Sparkle","Gold Gift Sparkle ",/g/o/gold-sparkle_3.png,,/g/o/gold-sparkle_3.png,,/g/o/gold-sparkle_3.png,,/g/o/gold-sparkle_3.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=50,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/gold-sparkle_3.png,,,,,,,,,,,,
"Gold Gift Sparkle-500",,Default,simple,"Default Category/Gift Card",base,"Gold Gift Sparkle-500",,,0.1500,1,"Taxable Goods","Not Visible Individually",500.0000,,,,gold-gift-sparkle-500,"Gold Gift Sparkle","Gold Gift Sparkle","Gold Gift Sparkle ",/g/o/gold-sparkle_4.png,,/g/o/gold-sparkle_4.png,,/g/o/gold-sparkle_4.png,,/g/o/gold-sparkle_4.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=500,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/gold-sparkle_4.png,,,,,,,,,,,,
"Gold Gift Sparkle-2000",,Default,simple,"Default Category/Gift Card",base,"Gold Gift Sparkle-2000",,,0.1500,1,"Taxable Goods","Not Visible Individually",2000.0000,,,,gold-gift-sparkle-2000,"Gold Gift Sparkle","Gold Gift Sparkle","Gold Gift Sparkle ",/g/o/gold-sparkle_5.png,,/g/o/gold-sparkle_5.png,,/g/o/gold-sparkle_5.png,,/g/o/gold-sparkle_5.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=2000,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/gold-sparkle_5.png,,,,,,,,,,,,
"Gold Gift Sparkle-100",,Default,simple,"Default Category/Gift Card",base,"Gold Gift Sparkle-100",,,0.1500,1,"Taxable Goods","Not Visible Individually",100.0000,,,,gold-gift-sparkle-100,"Gold Gift Sparkle","Gold Gift Sparkle","Gold Gift Sparkle ",/g/o/gold-sparkle_6.png,,/g/o/gold-sparkle_6.png,,/g/o/gold-sparkle_6.png,,/g/o/gold-sparkle_6.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=100,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/gold-sparkle_6.png,,,,,,,,,,,,
"Gold Gift Sparkle-700",,Default,simple,"Default Category/Gift Card",base,"Gold Gift Sparkle-700",,,0.1500,1,"Taxable Goods","Not Visible Individually",700.0000,,,,gold-gift-sparkle-700,"Gold Gift Sparkle","Gold Gift Sparkle","Gold Gift Sparkle ",/g/o/gold-sparkle_7.png,,/g/o/gold-sparkle_7.png,,/g/o/gold-sparkle_7.png,,/g/o/gold-sparkle_7.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=700,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/gold-sparkle_7.png,,,,,,,,,,,,
"Gold Gift Sparkle-3000",,Default,simple,"Default Category/Gift Card",base,"Gold Gift Sparkle-3000",,,0.1500,1,"Taxable Goods","Not Visible Individually",3000.0000,,,,gold-gift-sparkle-3000,"Gold Gift Sparkle","Gold Gift Sparkle","Gold Gift Sparkle ",/g/o/gold-sparkle_8.png,,/g/o/gold-sparkle_8.png,,/g/o/gold-sparkle_8.png,,/g/o/gold-sparkle_8.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=3000,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/gold-sparkle_8.png,,,,,,,,,,,,
"Gold Thank You-50",,Default,simple,"Default Category/Gift Card",base,"Gold Thank You-50",,,0.0150,1,"Taxable Goods","Not Visible Individually",50.0000,,,,gold-thank-you-50,"Gold Thank You","Gold Thank You","Gold Thank You ",/g/o/gold-thankyou_1_1.jpg,,/g/o/gold-thankyou_1_1.jpg,,/g/o/gold-thankyou_1_1.jpg,,/g/o/gold-thankyou_1_1.jpg,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=50,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/gold-thankyou_1_1.jpg,,,,,,,,,,,,
"Gold Thank You-25",,Default,simple,"Default Category/Gift Card",base,"Gold Thank You-25",,,0.0150,1,"Taxable Goods","Not Visible Individually",25.0000,,,,gold-thank-you-25,"Gold Thank You","Gold Thank You","Gold Thank You ",/g/o/gold-thankyou_1.jpg,,/g/o/gold-thankyou_1.jpg,,/g/o/gold-thankyou_1.jpg,,/g/o/gold-thankyou_1.jpg,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=25,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/gold-thankyou_1.jpg,,,,,,,,,,,,
"Gold Ribbon-3000",,Default,simple,"Default Category/Gift Card",base,"Gold Ribbon-3000",,,0.1500,1,"Taxable Goods","Not Visible Individually",3000.0000,,,,gold-ribbon-3000,"Gold Ribbon","Gold Ribbon","Gold Ribbon ",/g/o/goldribbon_8.png,,/g/o/goldribbon_8.png,,/g/o/goldribbon_8.png,,/g/o/goldribbon_8.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=3000,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/goldribbon_8.png,,,,,,,,,,,,
"Gold Ribbon-2000",,Default,simple,"Default Category/Gift Card",base,"Gold Ribbon-2000",,,0.1500,1,"Taxable Goods","Not Visible Individually",2000.0000,,,,gold-ribbon-2000,"Gold Ribbon","Gold Ribbon","Gold Ribbon ",/g/o/goldribbon_7.png,,/g/o/goldribbon_7.png,,/g/o/goldribbon_7.png,,/g/o/goldribbon_7.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=2000,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/goldribbon_7.png,,,,,,,,,,,,
"Gold Ribbon-1000",,Default,simple,"Default Category/Gift Card",base,"Gold Ribbon-1000",,,0.1500,1,"Taxable Goods","Not Visible Individually",1000.0000,,,,gold-ribbon-1000,"Gold Ribbon","Gold Ribbon","Gold Ribbon ",/g/o/goldribbon_6.png,,/g/o/goldribbon_6.png,,/g/o/goldribbon_6.png,,/g/o/goldribbon_6.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=1000,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/goldribbon_6.png,,,,,,,,,,,,
"Gold Ribbon-700",,Default,simple,"Default Category/Gift Card",base,"Gold Ribbon-700",,,0.1500,1,"Taxable Goods","Not Visible Individually",700.0000,,,,gold-ribbon-700,"Gold Ribbon","Gold Ribbon","Gold Ribbon ",/g/o/goldribbon_5.png,,/g/o/goldribbon_5.png,,/g/o/goldribbon_5.png,,/g/o/goldribbon_5.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=700,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/goldribbon_5.png,,,,,,,,,,,,
"Original Gold-25",,Default,simple,"Default Category/Gift Card",base,"Original Gold-25",,,0.1500,1,"Taxable Goods","Not Visible Individually",25.0000,,,,original-gold-25,"Original Gold","Original Gold"," ",/g/o/gold_gift_card_1_2.png,,/g/o/gold_gift_card_1_2.png,,/g/o/gold_gift_card_1_2.png,,/g/o/gold_gift_card_1_2.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=25,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/gold_gift_card_1_2.png,,,,,,,,,,,,
